"";"tree.species";"value.level";"logging.method";"A";"tw";"zm";"species.code";"min.dq";"max.dq";"assortment"
"24";"douglas.fir";3;"manually";0,881510103;14,35610229;0,051636829;NA;NA;NA;"stem.wood"
"25";"oak";1;"harvester";0,850971368;23,75794447;0,041683451;110;10;40;"stem.wood"
"26";"oak";1;"combined";0,741394051;22,34076013;0,047503808;110;10;80;"stem.wood"
"27";"oak";1;"manually";0,735536198;21,47388149;0,053020064;110;10;80;"stem.wood"
"28";"oak";2;"harvester";0,791391543;23,60621778;0,037222831;110;10;40;"stem.wood"
"29";"oak";2;"combined";0,689946444;22,12744278;0,045796905;110;10;80;"stem.wood"
"30";"oak";2;"manually";0,681293929;21,32226192;0,052332009;110;10;80;"stem.wood"
"31";"oak";3;"harvester";0,705173409;25,97698005;0,027814194;110;10;40;"stem.wood"
"32";"oak";3;"combined";0,519516085;22,42270573;0,035768094;110;10;80;"stem.wood"
"33";"oak";3;"manually";0,513673773;21,29303922;0,036261266;110;10;80;"stem.wood"
"34";"alder";1;"harvester";0,768697714;26,97947022;0,033618713;421;10;40;"stem.wood"
"35";"alder";1;"combined";0,664452321;25,07521156;0,035440165;421;10;60;"stem.wood"
"36";"alder";1;"manually";0,66331522;24,49263546;0,035882014;421;10;60;"stem.wood"
"37";"alder";2;"harvester";0,760364692;27,66129007;0,031005747;421;10;40;"stem.wood"
"38";"alder";2;"combined";0,688065673;26,30915707;0,032901535;421;10;60;"stem.wood"
"39";"alder";2;"manually";0,690117057;25,83788656;0,033086729;421;10;60;"stem.wood"
"40";"alder";3;"harvester";0,743689375;29,51621079;0,025670629;421;10;40;"stem.wood"
"41";"alder";3;"combined";0,610130792;26,7886328;0,02714522;421;10;60;"stem.wood"
"42";"alder";3;"manually";0,598360649;26,16378545;0,026887676;421;10;60;"stem.wood"
"43";"ash";1;"harvester";0,847574992;25,87712155;0,03577055;311;10;40;"stem.wood"
"44";"ash";1;"combined";0,75172031;24,45301265;0,040051021;311;10;70;"stem.wood"
"45";"ash";1;"manually";0,740643716;23,99776347;0,045493609;311;10;70;"stem.wood"
"46";"ash";2;"harvester";0,779272407;26,50276716;0,03355962;311;10;40;"stem.wood"
"47";"ash";2;"combined";0,733233478;25,55685579;0,035342867;311;10;70;"stem.wood"
"48";"ash";2;"manually";0,735328559;25,14236449;0,035751193;311;10;70;"stem.wood"
"49";"ash";3;"harvester";0,806353252;28,69193878;0,027534277;311;10;40;"stem.wood"
"50";"ash";3;"combined";0,615914725;25,62288939;0,02913507;311;10;70;"stem.wood"
"51";"ash";3;"manually";0,614889268;25,04832905;0,030749277;311;10;70;"stem.wood"
"52";"spruce";1;"harvester";0,941137147;13,98821545;0,060435608;511;10;70;"stem.wood"
"53";"spruce";1;"combined";0,95862575;14,22647151;0,061165212;511;10;70;"stem.wood"
"54";"spruce";1;"manually";0,976535784;9,07743028;0,059330756;511;10;70;"stem.wood"
"55";"spruce";2;"harvester";0,901699424;14,06329278;0,055285013;511;10;70;"stem.wood"
"56";"spruce";2;"combined";0,914376737;14,17360247;0,055729919;511;10;70;"stem.wood"
"57";"spruce";2;"manually";0,937012394;10,50758148;0,05635716;511;10;70;"stem.wood"
"58";"spruce";3;"harvester";0,841796893;13,90226766;0,047018695;511;10;70;"stem.wood"
"59";"spruce";3;"combined";0,841133897;13,83548848;0,048073241;511;10;70;"stem.wood"
"60";"spruce";3;"manually";0,832282908;12,9809806;0,049521425;511;10;70;"stem.wood"
"61";"pine";1;"harvester";0,922405261;14,760662;0,056967821;711;10;70;"stem.wood"
"62";"pine";1;"combined";0,930661329;14,76955945;0,056363863;711;10;70;"stem.wood"
"63";"pine";1;"manually";0,931634536;14,67086039;0,063155865;711;10;70;"stem.wood"
"64";"pine";2;"harvester";0,892685856;15,09763748;0,05198159;711;10;70;"stem.wood"
"65";"pine";2;"combined";0,890572719;15,20703277;0,054634348;711;10;70;"stem.wood"
"66";"pine";2;"manually";0,893528275;15,73452219;0,06140333;711;10;70;"stem.wood"
"67";"pine";3;"harvester";0,765816438;14,48428402;0,058222364;711;10;70;"stem.wood"
"68";"pine";3;"combined";0,784325141;14,77988888;0,059147787;711;10;70;"stem.wood"
"69";"pine";3;"manually";0,804262718;16,06291559;0,064316842;711;10;70;"stem.wood"
"70";"larch";1;"harvester";0,949144211;14,84532987;0,063503859;811;10;70;"stem.wood"
"71";"larch";1;"combined";0,947475401;14,89527485;0,064717873;811;10;70;"stem.wood"
"72";"larch";1;"manually";0,950080016;14,91007206;0,06031272;811;10;70;"stem.wood"
"73";"larch";2;"harvester";0,901193752;15,23034779;0,064422017;811;10;70;"stem.wood"
"74";"larch";2;"combined";0,906979658;15,30988666;0,065169865;811;10;70;"stem.wood"
"75";"larch";2;"manually";0,906599598;15,27800811;0,068267303;811;10;70;"stem.wood"
"76";"larch";3;"harvester";0,824742607;15,8898417;0,039447762;811;10;70;"stem.wood"
"77";"larch";3;"combined";0,830760499;15,9578171;0,03871375;811;10;70;"stem.wood"
"78";"larch";3;"manually";0,823018685;16,63691053;0,043449511;811;10;70;"stem.wood"
"79";"poplar";1;"harvester";0,891811807;25,33061338;0,037846619;430;10;40;"stem.wood"
"80";"poplar";1;"combined";0,946735106;25,39109726;0,039423444;430;10;70;"stem.wood"
"81";"poplar";1;"manually";0,948726011;24,67837942;0,038443942;430;10;70;"stem.wood"
"82";"poplar";2;"harvester";0,838391175;25,02935794;0,034733439;430;10;40;"stem.wood"
"83";"poplar";2;"combined";0,834383694;24,63224567;0,035684824;430;10;70;"stem.wood"
"84";"poplar";2;"manually";0,824658449;23,35016137;0,036334399;430;10;70;"stem.wood"
"85";"poplar";3;"harvester";0,68233337;26,18099016;0,02520879;430;10;40;"stem.wood"
"86";"poplar";3;"combined";0,562042407;23,8827959;0,02317995;430;10;70;"stem.wood"
"87";"poplar";3;"manually";0,555402152;22,84051066;0,024247315;430;10;70;"stem.wood"
